instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
mul,M,RV32;RV64,hdl,0,358,99,0,0,VexRiscv.v;src/main/scala/vexriscv/TestsWorkspace.scala;src/test/scala/vexriscv/DhrystoneBench.scala;src/test/scala/vexriscv/TestIndividualFeatures.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
div,M,RV32;RV64,hdl,0,317,67,0,0,VexRiscv.v;src/main/scala/vexriscv/TestsWorkspace.scala;src/test/scala/vexriscv/DhrystoneBench.scala;src/test/scala/vexriscv/TestIndividualFeatures.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
sw,I,RV32;RV64,asm;hdl,252,53,250,0,0,VexRiscv.v;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/icache/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/smp/src/crt.S
add,I,RV32;RV64,asm;hdl,28,258,59,0,0,VexRiscv.v;src/test/cpp/raw/dcache/src/crt.S;src/test/cpp/raw/lrsc/src/crt.S;src/test/cpp/raw/smp/src/crt.S;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
lw,I,RV32;RV64,asm;hdl,254,10,246,0,0,src/test/cpp/raw/amo/src/crt.S;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/fpu/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/smp/src/crt.S
max,Zbb,RV32;RV64,hdl,0,238,14,0,0,VexRiscv.v;src/main/scala/vexriscv/demo/GenMax.scala;src/main/scala/vexriscv/demo/GenMaxRv32.scala;src/main/scala/vexriscv/demo/GenMaxRv32F.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
fmv.w.x,F,RV32;RV64,asm;hdl,4,229,16,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/ip/fpu/Interface.scala;src/test/cpp/raw/privSpec/src/crt.S;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
fmv.x.w,F,RV32;RV64,asm;hdl,1,230,13,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/ip/fpu/Interface.scala;src/test/cpp/raw/privSpec/src/crt.S;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
ebreak,I,RV32;RV64,asm;hdl,2,121,19,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/demo/Linux.scala;src/main/scala/vexriscv/plugin/DebugPlugin.scala;src/test/cpp/raw/privSpec/src/crt.S
bne,I,RV32;RV64,asm;hdl,118,2,120,0,0,src/test/cpp/raw/amo/src/crt.S;src/test/cpp/raw/fpu/src/crt.S;src/test/cpp/raw/icache/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/smp/src/crt.S
wfi,Sm,RV32;RV64,asm;hdl,14,94,26,0,0,VexRiscv.v;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/machineCsr/src/crt.S;src/test/resources/asm/machineCsr.asm;src/test/resources/asm/machineCsrCompressed.asm
ecall,I,RV32;RV64,asm;hdl,12,88,20,0,0,VexRiscv.v;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/machineCsr/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/privSpec/src/crt.S
jalr,I,RV32;RV64,asm;hdl,10,70,34,0,0,VexRiscv.v;src/test/cpp/raw/smp/src/crt.S;src/test/resources/asm/dhrystoneO3.asm;src/test/resources/asm/dhrystoneO3C.asm;src/test/resources/asm/dhrystoneO3MC.asm
addi,I,RV32;RV64,asm;hdl,66,6,67,0,0,src/test/cpp/raw/dcache/src/crt.S;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/icache/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/smp/src/crt.S
jal,I,RV32;RV64,hdl,0,69,27,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/BranchPlugin.scala;src/main/scala/vexriscv/plugin/Fetcher.scala;src/main/scala/vexriscv/plugin/Misc.scala
sub,I,RV32;RV64,hdl,0,65,27,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/VexRiscv.scala;src/main/scala/vexriscv/plugin/IntAluPlugin.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala
fence,I,RV32;RV64,asm;hdl,3,58,17,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/IBusCachedPlugin.scala;src/main/scala/vexriscv/plugin/IBusSimplePlugin.scala;src/test/cpp/raw/smp/src/crt.S
sltu,I,RV32;RV64,hdl,0,53,13,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/IntAluPlugin.scala;src/main/scala/vexriscv/plugin/SrcPlugin.scala
beq,I,RV32;RV64,asm;hdl,34,2,34,0,0,src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/pmp/src/crt.S;src/test/cpp/raw/smp/src/crt.S
lh,I,RV32;RV64,asm;hdl,3,32,17,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/test/cpp/raw/machineCsr/src/crt.S;src/test/resources/asm/machineCsr.asm;src/test/resources/asm/machineCsrCompressed.asm
mret,Sm,RV32;RV64,asm;hdl,24,7,30,0,0,src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/machineCsr/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/pmp/src/crt.S
or,I,RV32;RV64,asm;hdl,2,22,14,0,0,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/CsrPlugin.scala;src/main/scala/vexriscv/plugin/IntAluPlugin.scala;src/test/cpp/raw/mmu/src/crt.S
fence.i,Zifencei,RV32;RV64,asm;hdl,2,21,23,0,0,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/IBusCachedPlugin.scala;src/main/scala/vexriscv/plugin/IBusSimplePlugin.scala;src/test/cpp/raw/icache/src/crt.S;src/test/cpp/raw/mmu/src/crt.S
sc.w,Zalrsc,RV32;RV64,asm,23,0,23,0,0,src/test/cpp/custom/atomic/src/crt.S;src/test/cpp/raw/lrsc/src/crt.S;src/test/cpp/raw/smp/src/crt.S
and,I,RV32;RV64,asm;hdl,10,9,19,0,0,src/test/cpp/custom/atomic/src/crt.S;src/test/cpp/raw/lrsc/src/crt.S;src/test/cpp/raw/machineCsr/src/crt.S;src/test/cpp/raw/privSpec/src/crt.S;src/test/resources/asm/machineCsrCompressed.asm
bge,I,RV32;RV64,asm;hdl,17,2,19,0,0,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/BranchPlugin.scala;src/test/cpp/custom/custom_csr/src/crt.S;src/test/cpp/raw/privSpec/src/crt.S;src/test/cpp/raw/smp/src/crt.S
srli,I,RV32;RV64,asm;hdl,13,6,19,0,0,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/ShiftPlugins.scala;src/test/cpp/raw/mmu/src/crt.S
sll,I,RV32;RV64,hdl,0,16,16,0,0,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/ShiftPlugins.scala
sra,I,RV32;RV64,hdl,0,16,16,0,0,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/ShiftPlugins.scala
