extension,support_status,isa_bases,evidence_kind,distinct_instructions,sample_files,notes
C,declared,,march,,,
D,used,RV32;RV64,hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/FpuPlugin.scala;src/main/scala/vexriscv/plugin/Misc.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala,
F,used,RV32;RV64,asm;hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/FpuPlugin.scala;src/test/cpp/raw/fpu/src/crt.S;src/test/cpp/raw/privSpec/src/crt.S,
I,used,RV32;RV64,asm;hdl,add;addi;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;lh;lhu;lui;lw;or;ori;sb;sh;sll;slli;slt;slti;sltiu;sltu;sra;srai;srl;srli;sub;sw;xor;xori,src/test/cpp/raw/amo/src/crt.S;src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/fpu/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/smp/src/crt.S,
M,used,RV32;RV64,hdl,div;divu;mul;mulh;mulhsu;mulhu;rem;remu,VexRiscv.v;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/TestsWorkspace.scala;src/main/scala/vexriscv/plugin/MulDivIterativePlugin.scala;src/test/scala/vexriscv/DhrystoneBench.scala,
S,used,RV32;RV64,asm;hdl,sfence.vma;sret,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/CsrPlugin.scala;src/main/scala/vexriscv/plugin/MmuPlugin.scala;src/test/cpp/raw/mmu/src/crt.S,
Sm,used,RV32;RV64,asm;hdl,mret;wfi,src/test/cpp/raw/deleg/src/crt.S;src/test/cpp/raw/machineCsr/src/crt.S;src/test/cpp/raw/mmu/src/crt.S;src/test/cpp/raw/mstatush/src/crt.S;src/test/cpp/raw/pmp/src/crt.S,
Zaamo,used,RV32;RV64,asm,amoadd.w;amoand.w;amomax.w;amomaxu.w;amomin.w;amominu.w;amoor.w;amoswap.w;amoxor.w,src/test/cpp/raw/amo/src/crt.S;src/test/cpp/raw/fpu/src/crt.S;src/test/cpp/raw/smp/src/crt.S,
Zalrsc,used,RV32;RV64,asm,lr.w;lr.w.rl;sc.w,src/test/cpp/custom/atomic/src/crt.S;src/test/cpp/raw/lrsc/src/crt.S;src/test/cpp/raw/smp/src/crt.S,
Zbb,used,RV32;RV64,hdl,max,VexRiscv.v;src/main/scala/vexriscv/demo/GenMax.scala;src/main/scala/vexriscv/demo/GenMaxRv32.scala;src/main/scala/vexriscv/demo/GenMaxRv32F.scala;src/test/scala/vexriscv/ip/fpu/FpuTest.scala,
Zbkb,used,RV32;RV64,hdl,pack,src/main/scala/spinal/lib/eda/icestorm/IcestormFlow.scala,
Zca,declared,,march,,,
Zcd,declared,,march,,,
Zcf,declared,,march,,,
Zicsr,used,RV32;RV64,asm;hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,src/main/c/emulator/src/riscv.h;src/main/c/emulator/src/trap.S;src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/CsrPlugin.scala;src/test/cpp/raw/mstatush/src/crt.S,
Zifencei,used,RV32;RV64,asm;hdl,fence.i,src/main/scala/vexriscv/Riscv.scala;src/main/scala/vexriscv/plugin/IBusCachedPlugin.scala;src/main/scala/vexriscv/plugin/IBusSimplePlugin.scala;src/test/cpp/raw/icache/src/crt.S;src/test/cpp/raw/mmu/src/crt.S,
a,declared,,march,,,
