extension,isa_bases,distinct_instructions,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,evidence_kind,instructions,sample_files
I,RV32;RV64,52,475,28895,25074,2466,1379,asm;hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/rocket/RocketCore.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala;utility/rocket-chip/torture/generator/src/main/scala/SeqMem.scala
Zvl32b,RV32;RV64,375,0,15704,14951,0,753,hdl,vaadd.vv;vaadd.vx;vaaddu.vv;vaaddu.vx;vadc.vim;vadc.vvm;vadc.vxm;vadd.vi;vadd.vv;vadd.vx;vand.vi;vand.vv;vand.vx;vasub.vv;vasub.vx;vasubu.vv;vasubu.vx;vcompress.vm;vcpop.m;vdiv.vv;vdiv.vx;vdivu.vv;vdivu.vx;vfadd.vf;vfadd.vv;vfclass.v;vfcvt.f.x.v;vfcvt.f.xu.v;vfcvt.rtz.x.f.v;vfcvt.rtz.xu.f.v;vfcvt.x.f.v;vfcvt.xu.f.v;vfdiv.vf;vfdiv.vv;vfirst.m;vfmacc.vf;vfmacc.vv;vfmadd.vf;vfmadd.vv;vfmax.vf;vfmax.vv;vfmerge.vfm;vfmin.vf;vfmin.vv;vfmsac.vf;vfmsac.vv;vfmsub.vf;vfmsub.vv;vfmul.vf;vfmul.vv;vfmv.f.s;vfmv.s.f;vfmv.v.f;vfncvt.f.f.w;vfncvt.f.x.w;vfncvt.f.xu.w;vfncvt.rod.f.f.w;vfncvt.rtz.x.f.w;vfncvt.rtz.xu.f.w;vfncvt.x.f.w;vfncvt.xu.f.w;vfnmacc.vf;vfnmacc.vv;vfnmadd.vf;vfnmadd.vv;vfnmsac.vf;vfnmsac.vv;vfnmsub.vf;vfnmsub.vv;vfrdiv.vf;vfrec7.v;vfredmax.vs;vfredmin.vs;vfredosum.vs;vfredusum.vs;vfrsqrt7.v;vfrsub.vf;vfsgnj.vf;vfsgnj.vv;vfsgnjn.vf;vfsgnjn.vv;vfsgnjx.vf;vfsgnjx.vv;vfslide1down.vf;vfslide1up.vf;vfsqrt.v;vfsub.vf;vfsub.vv;vfwadd.vf;vfwadd.vv;vfwadd.wf;vfwadd.wv;vfwcvt.f.f.v;vfwcvt.f.x.v;vfwcvt.f.xu.v;vfwcvt.rtz.x.f.v;vfwcvt.rtz.xu.f.v;vfwcvt.x.f.v;vfwcvt.xu.f.v;vfwmacc.vf;vfwmacc.vv;vfwmsac.vf;vfwmsac.vv;vfwmul.vf;vfwmul.vv;vfwnmacc.vf;vfwnmacc.vv;vfwnmsac.vf;vfwnmsac.vv;vfwredosum.vs;vfwredusum.vs;vfwsub.vf;vfwsub.vv;vfwsub.wf;vfwsub.wv;vid.v;viota.m;vl1re16.v;vl1re32.v;vl1re64.v;vl1re8.v;vl2re16.v;vl2re32.v;vl2re64.v;vl2re8.v;vl4re16.v;vl4re32.v;vl4re64.v;vl4re8.v;vl8re16.v;vl8re32.v;vl8re64.v;vl8re8.v;vle16.v;vle16ff.v;vle32.v;vle32ff.v;vle64.v;vle64ff.v;vle8.v;vle8ff.v;vlm.v;vloxei16.v;vloxei32.v;vloxei64.v;vloxei8.v;vlse16.v;vlse32.v;vlse64.v;vlse8.v;vluxei16.v;vluxei32.v;vluxei64.v;vluxei8.v;vmacc.vv;vmacc.vx;vmadc.vi;vmadc.vim;vmadc.vv;vmadc.vvm;vmadc.vx;vmadc.vxm;vmadd.vv;vmadd.vx;vmand.mm;vmandn.mm;vmax.vv;vmax.vx;vmaxu.vv;vmaxu.vx;vmerge.vim;vmerge.vvm;vmerge.vxm;vmfeq.vf;vmfeq.vv;vmfge.vf;vmfgt.vf;vmfle.vf;vmfle.vv;vmflt.vf;vmflt.vv;vmfne.vf;vmfne.vv;vmin.vv;vmin.vx;vminu.vv;vminu.vx;vmnand.mm;vmnor.mm;vmor.mm;vmorn.mm;vmsbc.vv;vmsbc.vvm;vmsbc.vx;vmsbc.vxm;vmsbf.m;vmseq.vi;vmseq.vv;vmseq.vx;vmsgt.vi;vmsgt.vx;vmsgtu.vi;vmsgtu.vx;vmsif.m;vmsle.vi;vmsle.vv;vmsle.vx;vmsleu.vi;vmsleu.vv;vmsleu.vx;vmslt.vv;vmslt.vx;vmsltu.vv;vmsltu.vx;vmsne.vi;vmsne.vv;vmsne.vx;vmsof.m;vmul.vv;vmul.vx;vmulh.vv;vmulh.vx;vmulhsu.vv;vmulhsu.vx;vmulhu.vv;vmulhu.vx;vmv.s.x;vmv.v.i;vmv.v.v;vmv.v.x;vmv.x.s;vmv1r.v;vmv2r.v;vmv4r.v;vmv8r.v;vmxnor.mm;vmxor.mm;vnclip.wi;vnclip.wv;vnclip.wx;vnclipu.wi;vnclipu.wv;vnclipu.wx;vnmsac.vv;vnmsac.vx;vnmsub.vv;vnmsub.vx;vnsra.wi;vnsra.wv;vnsra.wx;vnsrl.wi;vnsrl.wv;vnsrl.wx;vor.vi;vor.vv;vor.vx;vredand.vs;vredmax.vs;vredmaxu.vs;vredmin.vs;vredminu.vs;vredor.vs;vredsum.vs;vredxor.vs;vrem.vv;vrem.vx;vremu.vv;vremu.vx;vrgather.vi;vrgather.vv;vrgather.vx;vrgatherei16.vv;vrsub.vi;vrsub.vx;vs1r.v;vs2r.v;vs4r.v;vs8r.v;vsadd.vi;vsadd.vv;vsadd.vx;vsaddu.vi;vsaddu.vv;vsaddu.vx;vsbc.vvm;vsbc.vxm;vse16.v;vse32.v;vse64.v;vse8.v;vsetivli;vsetvl;vsetvli;vsext.vf2;vsext.vf4;vsext.vf8;vslide1down.vx;vslide1up.vx;vslidedown.vi;vslidedown.vx;vslideup.vi;vslideup.vx;vsll.vi;vsll.vv;vsll.vx;vsm.v;vsmul.vv;vsmul.vx;vsoxei16.v;vsoxei32.v;vsoxei64.v;vsoxei8.v;vsra.vi;vsra.vv;vsra.vx;vsrl.vi;vsrl.vv;vsrl.vx;vsse16.v;vsse32.v;vsse64.v;vsse8.v;vssra.vi;vssra.vv;vssra.vx;vssrl.vi;vssrl.vv;vssrl.vx;vssub.vv;vssub.vx;vssubu.vv;vssubu.vx;vsub.vv;vsub.vx;vsuxei16.v;vsuxei32.v;vsuxei64.v;vsuxei8.v;vwadd.vv;vwadd.vx;vwadd.wv;vwadd.wx;vwaddu.vv;vwaddu.vx;vwaddu.wv;vwaddu.wx;vwmacc.vv;vwmacc.vx;vwmaccsu.vv;vwmaccsu.vx;vwmaccu.vv;vwmaccu.vx;vwmaccus.vx;vwmul.vv;vwmul.vx;vwmulsu.vv;vwmulsu.vx;vwmulu.vv;vwmulu.vx;vwredsum.vs;vwredsumu.vs;vwsub.vv;vwsub.vx;vwsub.wv;vwsub.wx;vwsubu.vv;vwsubu.vx;vwsubu.wv;vwsubu.wx;vxor.vi;vxor.vv;vxor.vx;vzext.vf2;vzext.vf4;vzext.vf8,huancun/Utility/rocket-chip/src/main/scala/rocket/Instructions.scala;huancun/rocket-chip/src/main/scala/rocket/Instructions.scala;openLLC/openNCB/external/rocket-chip/src/main/scala/rocket/Instructions.scala;openLLC/utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala
D,RV32;RV64,32,0,6186,5866,0,320,hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/tile/FPU.scala;utility/rocket-chip/torture/generator/src/main/scala/Inst.scala;utility/rocket-chip/torture/generator/src/main/scala/SeqFaX.scala
F,RV32;RV64,30,0,5633,5343,0,290,hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/tile/FPU.scala;utility/rocket-chip/torture/generator/src/main/scala/Inst.scala;utility/rocket-chip/torture/generator/src/main/scala/SeqFPU.scala
M,RV32;RV64,13,0,4006,3600,198,208,hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,utility/rocket-chip/src/main/scala/rocket/ALU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/rocket/Multiplier.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala
Zbb,RV32;RV64,14,0,3805,3611,0,194,hdl,clz;clzw;cpop;cpopw;ctz;ctzw;max;maxu;min;minu;orc.b;sext.b;sext.h;zext.h,huancun/Utility/rocket-chip/src/main/scala/rocket/IDecode.scala;huancun/Utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/rocket/ABLU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala
Zfh,RV32;RV64,30,0,3548,3368,0,180,hdl,fadd.h;fclass.h;fcvt.d.h;fcvt.h.d;fcvt.h.l;fcvt.h.lu;fcvt.h.s;fcvt.h.w;fcvt.h.wu;fcvt.l.h;fcvt.lu.h;fcvt.s.h;fcvt.w.h;fcvt.wu.h;fdiv.h;feq.h;fle.h;flt.h;fmadd.h;fmax.h;fmin.h;fmsub.h;fmul.h;fnmadd.h;fnmsub.h;fsgnj.h;fsgnjn.h;fsgnjx.h;fsqrt.h;fsub.h,huancun/Utility/rocket-chip/src/main/scala/rocket/IDecode.scala;huancun/Utility/rocket-chip/src/main/scala/tile/FPU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/tile/FPU.scala
Zaamo,RV32;RV64,18,0,2734,2592,0,142,hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomaxu.d;amomaxu.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoxor.d;amoxor.w,huancun/Utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/torture/generator/src/main/scala/Inst.scala;utility/rocket-chip/torture/generator/src/main/scala/SeqMem.scala
B,RV32;RV64,12,0,2046,1940,0,106,hdl,andn;clmul;clmulh;orn;rev8;rol;rolw;ror;rori;roriw;rorw;xnor,huancun/Utility/rocket-chip/src/main/scala/rocket/IDecode.scala;huancun/Utility/rocket-chip/src/main/scala/rocket/Instructions.scala;huancun/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala
Zbs,RV32;RV64,8,0,1598,1515,0,83,hdl,bclr;bclri;bext;bexti;binv;binvi;bset;bseti,huancun/Utility/rocket-chip/src/main/scala/rocket/IDecode.scala;huancun/Utility/rocket-chip/src/main/scala/rocket/Instructions32.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/rocket/Instructions32.scala
