instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,8723,6802,1584,337,utility/src/main/scala/utility/ClockGate.scala;utility/src/main/scala/utility/DataModuleTemplate.scala;utility/src/main/scala/utility/LFSR64.scala;utility/src/main/scala/utility/LogUtils.scala;utility/src/main/scala/utility/PipelineConnect.scala
and,I,RV32;RV64,hdl,0,3489,2517,792,179,utility/rocket-chip/hardfloat/hardfloat/src/main/scala/AddRecFN.scala;utility/rocket-chip/hardfloat/hardfloat/src/main/scala/primitives.scala;utility/rocket-chip/hardfloat/hardfloat/src/main/scala/rawFloatFromIN.scala;utility/src/main/scala/utility/ParallelMux.scala;utility/src/main/scala/utility/PriorityMuxGen.scala
add,I,RV32;RV64,asm;hdl,38,2812,2580,90,144,utility/rocket-chip/hardfloat/hardfloat/tests/src/FMATester.scala;utility/rocket-chip/scripts/debug_rom/debug_rom_nonzero.S;utility/rocket-chip/src/main/scala/tilelink/Bundles.scala;utility/rocket-chip/src/main/scala/tilelink/Monitor.scala;utility/src/main/scala/utility/HardwarePerfMonitor.scala
xor,I,RV32;RV64,hdl,0,826,785,0,41,utility/rocket-chip/src/main/scala/tilelink/AtomicAutomata.scala;utility/rocket-chip/src/main/scala/tilelink/Atomics.scala;utility/rocket-chip/src/main/scala/tilelink/Bundles.scala;utility/src/main/scala/utility/BitUtils.scala;utility/src/main/scala/utility/ParallelMux.scala
div,M,RV32;RV64,hdl,0,597,458,108,31,utility/rocket-chip/hardfloat/hardfloat/tests/src/FMATester.scala;utility/rocket-chip/src/main/scala/rocket/ALU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/RocketCore.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala
max,Zbb,RV32;RV64,hdl,0,566,538,0,28,utility/rocket-chip/src/main/scala/diplomacy/AddressRange.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/tilelink/Broadcast.scala;utility/rocket-chip/src/main/scala/tilelink/Bundles.scala;utility/rocket-chip/src/main/scala/tilelink/Fragmenter.scala
min,Zbb,RV32;RV64,hdl,0,548,520,0,28,utility/rocket-chip/src/main/scala/rocket/ALU.scala;utility/rocket-chip/src/main/scala/rocket/DCache.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/tilelink/Bundles.scala;utility/rocket-chip/src/main/scala/tilelink/Fragmenter.scala
sra,I,RV32;RV64,hdl,0,535,507,0,28,utility/rocket-chip/src/main/scala/rocket/ABLU.scala;utility/rocket-chip/src/main/scala/rocket/ALU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/Instructions.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala
mul,M,RV32;RV64,hdl,0,530,413,90,27,utility/rocket-chip/hardfloat/hardfloat/tests/src/FMATester.scala;utility/rocket-chip/src/main/scala/rocket/ALU.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/RocketCore.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala
sb,I,RV32;RV64,hdl,0,508,483,0,25,utility/rocket-chip/src/main/scala/devices/debug/SBA.scala;utility/rocket-chip/src/main/scala/rocket/Consts.scala;utility/rocket-chip/src/main/scala/rocket/IDecode.scala;utility/rocket-chip/src/main/scala/rocket/RocketCore.scala;utility/rocket-chip/src/main/scala/system/RocketTestSuite.scala
