instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,714,635,3,0,sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomSmallV3TraceConfig/gen-collateral/BoomMSHRFile.sv;sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomSmallV3TraceConfig/gen-collateral/TLAtomicAutomata_cbus.sv;sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomSmallV3TraceConfig/gen-collateral/TLXbar_MasterXbar_BoomTile_i2_o1_a32d64s3k3z4c.sv;sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomSmallV3TraceConfig/gen-collateral/TLXbar_cbus_out_i1_o8_a29d64s7k1z4u.sv;sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomSmallV3TraceConfig/gen-collateral/TLXbar_prcibus_i1_o2_a21d64s7k1z3u.sv
add,I,RV32;RV64,asm;hdl,37,283,289,1,0,software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
and,I,RV32;RV64,asm;hdl,6,285,273,9,0,software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
div,M,RV32;RV64,hdl,0,99,99,0,0,generators/boom/src/main/scala/v4/exu/decode.scala;generators/chipyard/src/main/resources/vsrc/ClockDividerN.sv;generators/chipyard/src/main/scala/clocking/ClockDividerN.scala;generators/hardfloat/hardfloat/tests/src/FMATester.scala;generators/rocket-chip-blocks/src/main/scala/devices/uart/UART.scala
addi,I,RV32;RV64,asm;hdl,58,38,44,0,0,software/firemarshal/boards/firechip/base-workloads/br-base/trigger/end.S;software/firemarshal/boards/firechip/base-workloads/br-base/trigger/start.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
jalr,I,RV32;RV64,asm;hdl,2,88,89,0,0,generators/boom/src/main/scala/v4/ifu/frontend.scala;generators/shuttle/src/main/scala/ifu/Frontend.scala;generators/testchipip/src/main/scala/serdes/PeripheryTLSerial.scala;generators/testchipip/src/main/scala/serdes/old/PeripheryTLSerial.scala;sims/verilator/generated-src/chipyard.harness.TestHarness.CXBoomMediumV3TraceConfig/gen-collateral/ALUUnit_1.sv
xor,I,RV32;RV64,hdl,0,88,88,0,0,generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/util/util.scala;generators/rocket-chip-blocks/src/main/scala/devices/gpio/GPIO.scala;generators/rocket-chip-inclusive-cache/design/craft/inclusivecache/src/SourceD.scala;generators/shuttle/src/main/scala/dmem/IOHandler.scala
jal,I,RV32;RV64,asm;hdl,9,56,60,0,0,software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
sw,I,RV32;RV64,asm;hdl,35,29,42,0,0,software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
mul,M,RV32;RV64,hdl,0,62,62,0,0,generators/boom/src/main/scala/v4/common/consts.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/exu/execution-units/execution-unit.scala;generators/boom/src/main/scala/v4/exu/issue-units/issue-unit-age-ordered.scala;generators/hardfloat/hardfloat/tests/src/FMATester.scala
