extension,isa_bases,distinct_instructions,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,evidence_kind,instructions,sample_files
I,RV32;RV64,52,128,1898,1259,126,345,asm;hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_store_unit.sv;core/load_unit.sv
M,RV32;RV64,13,0,137,126,1,0,hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,common/local/util/instr_trace_item.svh;core/decoder.sv;core/include/ariane_pkg.sv;core/mult.sv;core/multiplier.sv
Zbb,RV32;RV64,14,0,128,120,8,0,hdl,clz;clzw;cpop;cpopw;ctz;ctzw;max;maxu;min;minu;orc.b;sext.b;sext.h;zext.h,core/cvfpu/src/fpnew_noncomp.sv;core/decoder.sv;core/fpu_wrap.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
H,RV32;RV64,15,0,100,100,0,0,hdl,hfence.gvma;hfence.vvma;hlv.b;hlv.bu;hlv.d;hlv.h;hlv.hu;hlv.w;hlv.wu;hlvx.hu;hlvx.wu;hsv.b;hsv.d;hsv.h;hsv.w,core/commit_stage.sv;core/decoder.sv;core/ex_stage.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv
Zvl32b,RV32;RV64,15,92,0,0,0,0,asm,vadd.vv;vfirst.m;vfmacc.vf;vle32.v;vle8.v;vle8ff.v;vmor.mm;vmsbf.m;vmseq.vi;vmsif.m;vmsne.vv;vmv.v.i;vse32.v;vse8.v;vsetvli,docs/riscv-isa/riscv-isa-manual/src/example/memcpy.s;docs/riscv-isa/riscv-isa-manual/src/example/saxpy.s;docs/riscv-isa/riscv-isa-manual/src/example/sgemm.S;docs/riscv-isa/riscv-isa-manual/src/example/strcmp.s;docs/riscv-isa/riscv-isa-manual/src/example/strlen.s
B,RV32;RV64,12,0,54,54,0,0,hdl,andn;clmul;clmulh;orn;rev8;rol;rolw;ror;rori;roriw;rorw;xnor,core/alu.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/mult.sv;core/multiplier.sv
Zknh,RV32;RV64,14,0,52,52,0,0,hdl,sha256sig0;sha256sig1;sha256sum0;sha256sum1;sha512sig0;sha512sig0h;sha512sig0l;sha512sig1;sha512sig1h;sha512sig1l;sha512sum0;sha512sum0r;sha512sum1;sha512sum1r,core/aes.sv;core/decoder.sv;core/include/ariane_pkg.sv
F,RV32;RV64,2,20,27,19,0,0,asm;hdl,flw;fsw,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_store_unit.sv;core/load_unit.sv
Zca,RV32;RV64,26,0,47,21,0,0,hdl,c.add;c.addi;c.addi16sp;c.addi4spn;c.and;c.andi;c.beqz;c.bnez;c.ebreak;c.j;c.jalr;c.jr;c.li;c.lui;c.lw;c.lwsp;c.mv;c.nop;c.or;c.slli;c.srai;c.srli;c.sub;c.sw;c.swsp;c.xor,common/local/util/instr_trace_item.svh;core/compressed_decoder.sv
Zicsr,RV32;RV64,6,0,43,31,0,0,hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,common/local/util/instr_trace_item.svh;core/csr_regfile.sv;core/decoder.sv;core/include/instr_tracer_pkg.sv;core/include/riscv_pkg.sv
Zba,RV32;RV64,8,0,35,35,0,0,hdl,add.uw;sh1add;sh1add.uw;sh2add;sh2add.uw;sh3add;sh3add.uw;slli.uw,core/alu.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zalrsc,RV32;RV64,4,0,33,29,0,0,hdl,lr.d;lr.w;sc.d;sc.w,core/cva6_rvfi.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv;core/store_unit.sv
Zbs,RV32;RV64,8,0,32,32,0,0,hdl,bclr;bclri;bext;bexti;binv;binvi;bset;bseti,core/alu.sv;core/decoder.sv;core/include/ariane_pkg.sv
D,RV32;RV64,2,0,28,18,0,0,hdl,fld;fsd,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/issue_read_operands.sv;core/load_store_unit.sv
S,RV32;RV64,2,0,27,23,0,0,hdl,sfence.vma;sret,core/commit_stage.sv;core/decoder.sv;core/ex_stage.sv;core/include/ariane_pkg.sv;core/issue_read_operands.sv
Sm,RV32;RV64,2,4,22,17,2,0,asm;hdl,mret;wfi,core/controller.sv;core/csr_regfile.sv;core/decoder.sv;core/frontend/frontend.sv;corev_apu/bootrom/bootrom.S
Zbkb,RV32;RV64,6,0,23,23,0,0,hdl,brev8;pack;packh;packw;unzip;zip,core/alu.sv;core/cva6_rvfi.sv;core/cvfpu/vendor/opene906/E906_RTL_FACTORY/gen_rtl/fdsu/rtl/pa_fdsu_ctrl.v;core/decoder.sv;core/issue_read_operands.sv
Zicbom,RV32;RV64,3,0,22,22,0,0,hdl,cbo.clean;cbo.flush;cbo.inval,core/cache_subsystem/cva6_hpdcache_if_adapter.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/store_unit.sv
Zknd,RV32;RV64,5,0,19,19,0,0,hdl,aes32dsi;aes32dsmi;aes64ds;aes64dsm;aes64im,core/aes.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zaamo,RV32;RV64,16,0,18,0,0,0,hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoxor.d;amoxor.w,common/local/util/instr_trace_item.svh
C,RV32;RV64,8,0,17,10,0,0,hdl,c.addiw;c.addw;c.jal;c.ld;c.ldsp;c.sd;c.sdsp;c.subw,common/local/util/instr_trace_item.svh;core/compressed_decoder.sv
Zkne,RV32;RV64,4,0,16,16,0,0,hdl,aes32esi;aes32esmi;aes64es;aes64esm,core/aes.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zfhmin,RV32;RV64,2,0,15,15,0,0,hdl,flh;fsh,core/decoder.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv;core/load_unit.sv;core/store_unit.sv
Zcb,RV32;RV64,12,0,12,12,0,0,hdl,c.lbu;c.lh;c.lhu;c.mul;c.not;c.sb;c.sext.b;c.sext.h;c.sh;c.zext.b;c.zext.h;c.zext.w,core/compressed_decoder.sv
Sdext,RV32;RV64,1,1,9,6,0,0,asm;hdl,dret,core/csr_regfile.sv;core/decoder.sv;core/include/ariane_pkg.sv;corev_apu/instr_tracing/ITI/cva6_iti/itype_detector.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S
Zifencei,RV32;RV64,1,0,9,7,0,0,hdl,fence.i,core/commit_stage.sv;core/controller.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv
Q,RV32;RV64,2,0,8,2,0,0,hdl,flq;fsq,common/local/util/instr_trace_item.svh;core/include/instr_tracer_pkg.sv
Zbc,RV32;RV64,1,0,8,8,0,0,hdl,clmulr,core/decoder.sv;core/include/ariane_pkg.sv;core/mult.sv;core/multiplier.sv
Zbkx,RV32;RV64,2,0,8,8,0,0,hdl,xperm4;xperm8,core/alu.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zcd,RV32;RV64,4,0,8,4,0,0,hdl,c.fld;c.fldsp;c.fsd;c.fsdsp,common/local/util/instr_trace_item.svh;core/compressed_decoder.sv
Zicond,RV32;RV64,2,0,8,8,0,0,hdl,czero.eqz;czero.nez,core/alu.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zkn,RV64,2,0,7,7,0,0,hdl,aes64ks1i;aes64ks2,core/aes.sv;core/decoder.sv;core/include/ariane_pkg.sv
Zcf,RV32,4,0,5,5,0,0,hdl,c.flw;c.flwsp;c.fsw;c.fswsp,core/compressed_decoder.sv
Zihintpause,RV32;RV64,1,0,3,3,0,0,hdl,pause,corev_apu/riscv-dbg/src/dmi_jtag_tap.sv
Zcmp,RV32;RV64,1,0,1,1,0,0,hdl,cm.popretz,core/macro_decoder.sv
