instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,1183,749,92,303,corev_apu/tb/ariane_soc_pkg.sv;corev_apu/tb/tb_serdiv/hdl/tb.sv;corev_apu/tb/tb_serdiv/hdl/tb_div.sv;corev_apu/tb/tb_serdiv/hdl/tb_pkg.sv;corev_apu/tb/tb_serdiv/hdl/tb_udiv.sv
add,I,RV32;RV64,asm;hdl,44,78,62,2,11,corev_apu/fpga/src/ariane-ethernet/rgmii_lfsr.sv;corev_apu/fpga/src/gpio/src/gpio_reg_top.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
and,I,RV32;RV64,hdl,0,105,75,7,17,corev_apu/instr_tracing/rv_tracer-main/rtl/te_filter.sv;corev_apu/instr_tracing/rv_tracer-main/rtl/te_packet_emitter.sv;corev_apu/tb/common/assign.svh;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
sw,I,RV32;RV64,asm;hdl,9,49,27,0,13,corev_apu/register_interface/vendor/lowrisc_opentitan/src/prim_subreg.sv;corev_apu/register_interface/vendor/lowrisc_opentitan/src/prim_subreg_arb.sv;corev_apu/register_interface/vendor/lowrisc_opentitan/src/prim_subreg_shadow.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S;corev_apu/riscv-dbg/src/dm_top.sv
div,M,RV32;RV64,hdl,0,38,37,0,0,core/cvfpu/src/fpnew_divsqrt_th_64_multi.sv;core/cvfpu/vendor/openc910/C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_prepare.v;core/cvfpu/vendor/opene906/E906_RTL_FACTORY/gen_rtl/fdsu/rtl/pa_fdsu_prepare.v;core/cvfpu/vendor/opene906/E906_RTL_FACTORY/gen_rtl/fdsu/rtl/pa_fdsu_special.v;core/cvfpu/vendor/opene906/E906_RTL_FACTORY/gen_rtl/fpu/rtl/pa_fpu_frbus.v
flw,F,RV32;RV64,asm;hdl,20,15,11,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_store_unit.sv;core/load_unit.sv
max,Zbb,RV32;RV64,hdl,0,32,30,2,0,corev_apu/instr_tracing/rv_encapsulator-main/src/include/encap_pkg.sv;corev_apu/instr_tracing/rv_tracer-main/rtl/rv_tracer.sv;corev_apu/instr_tracing/rv_tracer-main/rtl/te_branch_map.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
addi,I,RV32;RV64,asm;hdl,8,20,17,3,0,common/local/util/instr_trace_item.svh;core/include/instr_tracer_pkg.sv;core/macro_decoder.sv;corev_apu/riscv-dbg/tb/prog/crt0.S;corev_apu/riscv-dbg/tb/prog/vectors.S
jal,I,RV32;RV64,asm;hdl,10,18,13,8,0,core/issue_read_operands.sv;core/zcmt_decoder.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S;corev_apu/riscv-dbg/tb/mm_ram.sv;corev_apu/riscv-dbg/tb/prog/vectors.S
ld,I,RV32;RV64,asm;hdl,4,21,16,0,0,core/cva6.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv;corev_apu/fpga/src/ariane-ethernet/rgmii_soc.sv
sub,I,RV32;RV64,asm;hdl,10,15,12,1,0,core/cvfpu/src/fpnew_fma.sv;core/cvfpu/src/fpnew_fma_multi.sv;core/decoder.sv;core/fpu_wrap.sv;corev_apu/riscv-dbg/tb/prog/crt0.S
xor,I,RV32;RV64,hdl,0,25,19,2,1,core/cva6_rvfi.sv;core/cvfpu/src/common_cells/src/deprecated/generic_LFSR_8bit.sv;corev_apu/fpga/src/ariane-ethernet/rgmii_lfsr.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
fence,I,RV32;RV64,asm;hdl,1,23,20,0,0,core/commit_stage.sv;core/controller.sv;core/decoder.sv;core/frontend/frontend.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S
lw,I,RV32;RV64,asm;hdl,1,21,16,1,0,core/compressed_decoder.sv;core/decoder.sv;core/load_store_unit.sv;core/load_unit.sv;corev_apu/riscv-dbg/tb/prog/crt0.S
vle32.v,Zvl32b,RV32;RV64,asm,22,0,0,0,0,docs/riscv-isa/riscv-isa-manual/src/example/saxpy.s;docs/riscv-isa/riscv-isa-manual/src/example/sgemm.S;docs/riscv-isa/riscv-isa-manual/src/example/vvaddint32.s
jalr,I,RV32;RV64,hdl,0,21,17,0,0,core/branch_unit.sv;core/decoder.sv;core/frontend/instr_scan.sv;core/perf_counters.sv;corev_apu/instr_tracing/ITI/cva6_iti/itype_detector.sv
min,Zbb,RV32;RV64,hdl,0,21,19,2,0,core/cvfpu/src/fpnew_noncomp.sv;core/decoder.sv;core/fpu_wrap.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
mul,M,RV32;RV64,hdl,0,20,18,0,0,core/cvfpu/src/fpnew_fma.sv;core/cvfpu/src/fpnew_fma_multi.sv;core/cvfpu/src/fpnew_pkg.sv;core/decoder.sv;core/fpu_wrap.sv
addw,I,RV64,hdl,0,19,16,0,0,core/alu.sv;core/cva6_rvfi.sv;core/decoder.sv;core/load_store_unit.sv;core/load_unit.sv
sb,I,RV32;RV64,hdl,0,19,12,4,0,core/cvfpu/src/fpu_div_sqrt_mvp/hdl/div_sqrt_top_mvp.sv;core/decoder.sv;core/include/ariane_pkg.sv;core/issue_stage.sv;corev_apu/riscv-dbg/tb/mm_ram.sv
slli,I,RV32;RV64,asm;hdl,13,6,3,1,0,core/include/instr_tracer_pkg.sv;corev_apu/bootrom/bootrom.S;corev_apu/riscv-dbg/debug_rom/debug_rom.S;corev_apu/riscv-dbg/tb/prog/vectors.S;example_skip/skip_trap.S
vfmacc.vf,Zvl32b,RV32;RV64,asm,18,0,0,0,0,docs/riscv-isa/riscv-isa-manual/src/example/saxpy.s;docs/riscv-isa/riscv-isa-manual/src/example/sgemm.S
vse32.v,Zvl32b,RV32;RV64,asm,18,0,0,0,0,docs/riscv-isa/riscv-isa-manual/src/example/saxpy.s;docs/riscv-isa/riscv-isa-manual/src/example/sgemm.S;docs/riscv-isa/riscv-isa-manual/src/example/vvaddint32.s
lbu,I,RV32;RV64,asm;hdl,4,13,10,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_unit.sv;corev_apu/riscv-dbg/debug_rom/debug_rom.S
sd,I,RV32;RV64,asm;hdl,3,14,9,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv;corev_apu/altera/src/cva6_altera_peripherals.sv;corev_apu/fpga/src/ariane_peripherals_xilinx.sv
lh,I,RV32;RV64,hdl,0,16,13,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_store_unit.sv;core/load_unit.sv
maxu,Zbb,RV32;RV64,hdl,0,16,14,2,0,core/alu.sv;core/cva6_rvfi.sv;core/decoder.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
minu,Zbb,RV32;RV64,hdl,0,16,14,2,0,core/alu.sv;core/cva6_rvfi.sv;core/decoder.sv;corev_apu/tb/tb_wb_dcache/hdl/tb.sv;corev_apu/tb/tb_wt_axi_dcache/hdl/tb.sv
sfence.vma,S,RV32;RV64,hdl,0,16,15,0,0,core/commit_stage.sv;core/decoder.sv;core/ex_stage.sv;core/include/ariane_pkg.sv;core/issue_read_operands.sv
fld,D,RV32;RV64,hdl,0,15,10,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/issue_read_operands.sv;core/load_store_unit.sv
lhu,I,RV32;RV64,asm;hdl,1,14,11,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/load_store_unit.sv;core/load_unit.sv;example_skip/skip_trap.S
lb,I,RV32;RV64,hdl,0,14,11,0,0,common/local/util/instr_trace_item.svh;core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_unit.sv
lwu,I,RV64,hdl,0,14,11,0,0,core/decoder.sv;core/include/ariane_pkg.sv;core/include/instr_tracer_pkg.sv;core/load_store_unit.sv;core/load_unit.sv
