instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
sw,I,RV32;RV64,asm;hdl,831,53,4,8,866,examples/sw/simple_system/common/crt0.S;examples/sw/simple_system/dummy_instr_test/busy_work.S;rtl/ibex_cs_registers.sv;rtl/ibex_tracer.sv;software/skiptrap/skiptrap.S
xor,I,RV32;RV64,asm;hdl,652,78,10,5,714,rtl/ibex_alu.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;software/skiptrap/skiptrap.S
add,I,RV32;RV64,asm;hdl,672,50,28,4,686,examples/sw/simple_system/dit_test/count_ones_zeros.S;examples/sw/simple_system/dummy_instr_test/busy_work.S;rtl/ibex_alu.sv;rtl/ibex_tracer_pkg.sv;software/skiptrap/skiptrap.S
lw,I,RV32;RV64,asm;hdl,531,38,4,13,548,examples/sw/simple_system/dummy_instr_test/busy_work.S;rtl/ibex_decoder.sv;rtl/ibex_tracer.sv;software/skiptrap/skiptrap.S;vendor/riscv-tests/isa/rv64mi/breakpoint.S
addi,I,RV32;RV64,asm;hdl,172,33,6,4,180,examples/sw/simple_system/common/crt0.S;examples/sw/simple_system/dit_test/count_ones_zeros.S;examples/sw/simple_system/dummy_instr_test/busy_work.S;rtl/ibex_tracer_pkg.sv;software/skiptrap/skiptrap.S
sha256sig0,Zknh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig0-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig0-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig0-rwp2.S
sha256sig1,Zknh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig1-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig1-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sig1-rwp2.S
sha256sum0,Zknh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum0-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum0-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum0-rwp2.S
sha256sum1,Zknh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum1-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum1-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha256sum1-rwp2.S
sm3p0,Zksh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p0-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p0-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p0-rwp2.S
sm3p1,Zksh,RV32;RV64,asm,195,0,0,0,195,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p1-01.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p1-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sm3p1-rwp2.S
or,I,RV32;RV64,asm;hdl,13,158,14,11,144,rtl/ibex_alu.sv;rtl/ibex_core.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer_pkg.sv;software/skiptrap/skiptrap.S
rev8,B,RV32;RV64,asm;hdl,154,14,4,0,164,rtl/ibex_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/rv32zbb_instr.sv;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/B/src/rev8_32-01.S
brev8,Zbkb,RV32;RV64,asm,154,0,0,0,154,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/brev8_32-01.S
unzip,Zbkb,RV32,asm;hdl,132,3,3,0,132,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/unzip-01.S
zip,Zbkb,RV32,asm;hdl,132,3,3,0,132,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/zip-01.S
and,I,RV32;RV64,asm;hdl,16,101,15,10,91,examples/sw/simple_system/dummy_instr_test/busy_work.S;rtl/ibex_alu.sv;rtl/ibex_if_stage.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer_pkg.sv
sha512sig0h,Zknh,RV32,asm,108,0,0,0,108,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig0h-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig0h-rwp2.S
sha512sig0l,Zknh,RV32,asm,108,0,0,0,108,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig0l-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig0l-rwp2.S
sha512sig1h,Zknh,RV32,asm,108,0,0,0,108,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig1h-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/sha512sig1h-rwp2.S
