extension,support_status,isa_bases,evidence_kind,distinct_instructions,sample_files,notes
B,used,RV32;RV64,asm;hdl,andn;clmul;clmulh;orn;rev8;rol;rolw;ror;rori;roriw;rorw;xnor,vendor/google_riscv-dv/src/isa/riscv_b_instr.sv;vendor/google_riscv-dv/src/isa/riscv_zbb_instr.sv;vendor/google_riscv-dv/src/isa/rv64zbb_instr.sv;vendor/google_riscv-dv/src/riscv_instr_cover_group.sv;vendor/google_riscv-dv/src/riscv_instr_pkg.sv,
C,used,RV32;RV64,asm;hdl,c.addiw;c.jal;c.ldsp,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/riscv_instr_cov.svh;vendor/google_riscv-dv/src/riscv_illegal_instr.sv;vendor/riscv-tests/isa/rv64uc/rvc.S,
D,used,RV32;RV64,asm;hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,vendor/google_riscv-dv/src/isa/riscv_floating_point_instr.sv;vendor/google_riscv-dv/src/isa/rv32d_instr.sv;vendor/google_riscv-dv/src/isa/rv64d_instr.sv;vendor/google_riscv-dv/src/riscv_instr_cover_group.sv;vendor/google_riscv-dv/src/riscv_instr_pkg.sv,
F,used,RV32;RV64,asm;hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,vendor/google_riscv-dv/src/isa/riscv_floating_point_instr.sv;vendor/google_riscv-dv/src/isa/rv32f_instr.sv;vendor/google_riscv-dv/src/isa/rv64f_instr.sv;vendor/google_riscv-dv/src/riscv_instr_cover_group.sv;vendor/google_riscv-dv/src/riscv_instr_pkg.sv,
I,used,RV32;RV64,asm;hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,rtl/ibex_decoder.sv;rtl/ibex_tracer.sv;vendor/riscv-tests/isa/rv64mi/access.S;vendor/riscv-tests/isa/rv64mi/ma_addr.S;vendor/riscv-tests/isa/rv64ui/sb.S,
M,used,RV32;RV64,asm;hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,rtl/ibex_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/riscv_instr.sv;vendor/google_riscv-dv/src/isa/riscv_instr_cov.svh,
S,used,RV32;RV64,asm;hdl,sfence.vma;sret,vendor/google_riscv-dv/test/riscv_instr_cov_test.sv;vendor/riscv-tests/isa/rv64mi/illegal.S;vendor/riscv-tests/isa/rv64si/csr.S;vendor/riscv-tests/isa/rv64si/ma_fetch.S;vendor/riscv-tests/isa/rv64si/scall.S,
Sdext,used,RV32;RV64,hdl,dret,rtl/ibex_cs_registers.sv;rtl/ibex_if_stage.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Sm,used,RV32;RV64,asm;hdl,mret;wfi,rtl/ibex_core.sv;rtl/ibex_cs_registers.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;software/skiptrap/skiptrap.S,
Zaamo,used,RV32;RV64,asm;hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomaxu.d;amomaxu.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoswap.w.aqrl;amoxor.d;amoxor.w,vendor/google_riscv-dv/src/isa/rv32a_instr.sv;vendor/google_riscv-dv/src/isa/rv64a_instr.sv;vendor/google_riscv-dv/src/riscv_instr_pkg.sv;vendor/riscv-tests/isa/rv64ua/amoand_d.S;vendor/riscv-tests/isa/rv64ua/amomaxu_w.S,
Zalrsc,used,RV32;RV64,asm;hdl,lr.d;lr.w;sc.d;sc.w,vendor/google_riscv-dv/src/isa/rv32a_instr.sv;vendor/google_riscv-dv/src/isa/rv64a_instr.sv;vendor/google_riscv-dv/src/riscv_amo_instr_lib.sv;vendor/google_riscv-dv/src/riscv_instr_pkg.sv;vendor/riscv-tests/isa/rv64ua/lrsc.S,
Zba,used,RV32;RV64,hdl,add.uw;sh1add;sh1add.uw;sh2add;sh2add.uw;sh3add;sh3add.uw;slli.uw,rtl/ibex_alu.sv;rtl/ibex_decoder.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Zbb,used,RV32;RV64,hdl,clz;clzw;cpop;cpopw;ctz;ctzw;max;maxu;min;minu;orc.b;sext.b;sext.h;zext.h,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/riscv_zbb_instr.sv;vendor/google_riscv-dv/src/isa/rv32zbb_instr.sv;vendor/google_riscv-dv/src/riscv_instr_cover_group.sv,
Zbc,used,RV32;RV64,hdl,clmulr,rtl/ibex_alu.sv;rtl/ibex_decoder.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Zbkb,used,RV32;RV64,asm;hdl,brev8;pack;packh;packw;unzip;zip,rtl/ibex_alu.sv;rtl/ibex_decoder.sv;rtl/ibex_pkg.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Zbs,used,RV32;RV64,hdl,bclr;bclri;bext;bexti;binv;binvi;bset;bseti,rtl/ibex_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/riscv_zbs_instr.sv;vendor/google_riscv-dv/src/isa/rv32zbs_instr.sv,
Zca,used,RV32;RV64,asm;hdl,c.add;c.addi;c.addi16sp;c.addi4spn;c.and;c.andi;c.beqz;c.bnez;c.ebreak;c.j;c.jalr;c.jr;c.li;c.lui;c.lw;c.lwsp;c.mv;c.nop;c.or;c.slli;c.srai;c.srli;c.sub;c.sw;c.swsp;c.xor,rtl/ibex_compressed_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/riscv_compressed_instr.sv;vendor/google_riscv-dv/src/isa/riscv_instr_cov.svh,
Zcb,used,RV32;RV64,hdl,c.lbu;c.lh;c.lhu;c.mul;c.not;c.sb;c.sext.b;c.sext.h;c.sh;c.zext.b;c.zext.h;c.zext.w,rtl/ibex_compressed_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Zcmp,used,RV32;RV64,hdl,cm.mva01s;cm.mvsa01;cm.pop;cm.popret;cm.popretz;cm.push,rtl/ibex_compressed_decoder.sv;rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv,
Zfh,used,RV32;RV64,asm,fclass.h,vendor/riscv-tests/isa/rv64uzfh/fclass.S,
Zfhmin,used,RV32;RV64,asm,fmv.h.x;fmv.x.h,vendor/riscv-tests/isa/rv64uzfh/move.S,
Zicboz,declared,,march,,,
Zicsr,used,RV32;RV64,asm;hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/src/isa/rv32i_instr.sv;vendor/riscv-tests/debug/programs/entry.S;vendor/riscv-tests/isa/rv64mi/illegal.S,
Zifencei,used,RV32;RV64,asm;hdl,fence.i,rtl/ibex_tracer.sv;rtl/ibex_tracer_pkg.sv;vendor/google_riscv-dv/test/riscv_instr_cov_test.sv;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/Zifencei/src/Fencei.S;vendor/riscv-tests/isa/rv64ui/fence_i.S,
Zihintpause,used,RV32;RV64,hdl,pause,vendor/lowrisc_ip/ip/prim/rtl/prim_alert_receiver.sv;vendor/lowrisc_ip/ip/prim/rtl/prim_alert_sender.sv,
Zknd,used,RV32,asm,aes32dsi;aes32dsmi,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/aes32dsi-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/aes32dsmi-rwp1.S,
Zkne,used,RV32,asm,aes32esi;aes32esmi,vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/aes32esi-rwp1.S;vendor/riscv-arch-tests/riscv-test-suite/rv32i_m/K/src/aes32esmi-rwp1.S,
