instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
sw,I,RV32;RV64,asm;hdl,23,3,1,2,18,riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv;tests/unit/lsu_unit_test.sv
lw,I,RV32;RV64,asm;hdl,16,3,1,2,16,riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;tests/unit/kronos_ID_unit_test.sv;tests/unit/lsu_unit_test.sv
and,I,RV32;RV64,hdl,0,16,11,5,0,rtl/core/kronos_ID.sv;rtl/core/kronos_hcu.sv;rtl/peripherals/spi_master.sv;rtl/peripherals/spiflash.sv;rtl/peripherals/uart_tx.sv
or,I,RV32;RV64,hdl,0,16,12,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;rtl/peripherals/fifo.sv;rtl/peripherals/spiflash.sv
add,I,RV32;RV64,asm;hdl,2,12,6,6,1,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv
jalr,I,RV32;RV64,hdl,0,14,11,3,0,rtl/core/kronos_ID.sv;rtl/core/kronos_RF.sv;rtl/core/kronos_agu.sv;rtl/core/kronos_hcu.sv;rtl/core/kronos_types.sv
ebreak,I,RV32;RV64,asm;hdl,1,11,6,5,0,rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv
ecall,I,RV32;RV64,asm;hdl,1,11,6,5,0,rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv
beq,I,RV32;RV64,asm;hdl,4,7,3,4,1,riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S
jal,I,RV32;RV64,hdl,0,11,8,3,0,rtl/core/kronos_ID.sv;rtl/core/kronos_RF.sv;rtl/core/kronos_agu.sv;rtl/core/kronos_hcu.sv;rtl/core/kronos_types.sv
mret,Sm,RV32;RV64,asm;hdl,2,9,4,5,1,riscv-tests/common/crt0.S;rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S
lui,I,RV32;RV64,asm;hdl,2,8,6,2,2,rtl/core/kronos_ID.sv;rtl/core/kronos_RF.sv;rtl/core/kronos_hcu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_ID_unit_test.sv
xor,I,RV32;RV64,hdl,0,9,5,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
auipc,I,RV32;RV64,hdl,0,8,6,2,0,rtl/core/kronos_ID.sv;rtl/core/kronos_RF.sv;rtl/core/kronos_hcu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_ID_unit_test.sv
bne,I,RV32;RV64,asm;hdl,1,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv
addi,I,RV32;RV64,asm;hdl,5,2,1,1,4,riscv-compliance/debug_lui.S;riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv
bge,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;tests/unit/branch_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
bgeu,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;tests/unit/branch_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
blt,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;tests/unit/branch_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
bltu,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_branch.sv;rtl/core/kronos_types.sv;tests/unit/branch_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
csrrc,Zicsr,RV32;RV64,asm;hdl,3,4,1,3,3,riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;tests/unit/counters_unit_test.sv;tests/unit/csr_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
sll,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
slt,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
sltu,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
sra,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
srl,I,RV32;RV64,hdl,0,7,3,4,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
sub,I,RV32;RV64,hdl,0,7,4,3,0,rtl/core/kronos_ID.sv;rtl/core/kronos_alu.sv;rtl/core/kronos_types.sv;tests/unit/kronos_EX_unit_test.sv;tests/unit/kronos_ID_unit_test.sv
wfi,Sm,RV32;RV64,hdl,0,6,4,2,0,rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;tests/unit/kronos_ID_unit_test.sv
