instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,258,258,0,0,C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_prepare.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_round.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_scalar_ctrl.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_special.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_top.v
div,M,RV32;RV64,hdl,0,28,28,0,0,C906_RTL_FACTORY/gen_rtl/iu/rtl/aq_iu_div.v;C906_RTL_FACTORY/gen_rtl/plic/rtl/csky_apb_1tox_matrix.v;C906_RTL_FACTORY/gen_rtl/rtu/rtl/aq_rtu_ctrl.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_prepare.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_special.v
ld,I,RV32;RV64,hdl,0,13,13,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v;C906_RTL_FACTORY/gen_rtl/lsu/rtl/aq_lsu_dtif.v;C906_RTL_FACTORY/gen_rtl/lsu/rtl/aq_lsu_lfb.v;C906_RTL_FACTORY/gen_rtl/lsu/rtl/aq_lsu_rdl.v
add,I,RV32;RV64,hdl,0,9,9,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fadd_double_add.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fadd_double_round.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fadd_scalar_dp.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_scalar_ctrl.v
mul,M,RV32;RV64,hdl,0,9,9,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/iu/rtl/aq_iu_mul.v;C906_RTL_FACTORY/gen_rtl/rtu/rtl/aq_rtu_ctrl.v;C906_RTL_FACTORY/gen_rtl/rtu/rtl/aq_rtu_rbus.v
and,I,RV32;RV64,hdl,0,8,8,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_ctrl.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/plic/rtl/plic_granu_arb.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fcnvt_double.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_srt.v
lr.w,Zalrsc,RV32;RV64,hdl,0,7,7,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v
ebreak,I,RV32;RV64,hdl,0,6,6,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/tdt/rtl/debug/tdt_dm.v;C906_RTL_FACTORY/gen_rtl/tdt/rtl/top/tdt_dm_top.v
fence,I,RV32;RV64,hdl,0,6,6,0,0,C906_RTL_FACTORY/gen_rtl/cp0/rtl/aq_cp0_iui.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_dp.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v
lr.d,Zalrsc,RV64,hdl,0,6,6,0,0,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v
