extension,support_status,isa_bases,evidence_kind,distinct_instructions,sample_files,notes
C,used,RV32;RV64,hdl,c.addiw;c.addw;c.ld;c.ldsp;c.sd;c.sdsp;c.subw,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
D,used,RV32;RV64,hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/lsu/rtl/aq_vlsu_vtb.v,
F,used,RV32;RV64,hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fspu_top.v,
H,used,RV32;RV64,hdl,hfence.gvma;hfence.vvma,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
I,used,RV32;RV64,hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/ifu/rtl/aq_ifu_pre_decd.v;C906_RTL_FACTORY/gen_rtl/iu/rtl/aq_iu_alu.v;C906_RTL_FACTORY/gen_rtl/iu/rtl/aq_iu_bju.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fadd_double_add.v,
M,used,RV32;RV64,hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/iu/rtl/aq_iu_mul.v;C906_RTL_FACTORY/gen_rtl/rtu/rtl/aq_rtu_ctrl.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_round.v;C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_srt.v,
S,used,RV32;RV64,hdl,sfence.vma;sret,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v,
Sdext,used,RV32;RV64,hdl,dret,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Sm,used,RV32;RV64,hdl,mret;wfi,C906_RTL_FACTORY/gen_rtl/dtu/rtl/aq_dtu_m_iie_all.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Zaamo,used,RV32;RV64,hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomaxu.d;amomaxu.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoxor.d;amoxor.w,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v,
Zalrsc,used,RV32;RV64,hdl,lr.d;lr.w;sc.d;sc.w,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_split.v,
Zbb,used,RV32;RV64,hdl,max;min,C906_RTL_FACTORY/gen_rtl/lsu/rtl/aq_lsu_amo_alu.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fadd_double_special.v;C906_RTL_FACTORY/gen_rtl/vfalu/rtl/aq_fcnvt_double.v,
Zbkb,used,RV32;RV64,hdl,pack,C906_RTL_FACTORY/gen_rtl/vfdsu/rtl/aq_fdsu_scalar_ctrl.v,
Zca,used,RV32;RV64,hdl,c.add;c.addi;c.addi16sp;c.addi4spn;c.and;c.andi;c.beqz;c.bnez;c.ebreak;c.j;c.jalr;c.jr;c.li;c.lui;c.lw;c.lwsp;c.mv;c.or;c.slli;c.srai;c.srli;c.sub;c.sw;c.swsp;c.xor,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/ifu/rtl/aq_ifu_pre_decd.v,
Zcd,used,RV32;RV64,hdl,c.fld;c.fldsp;c.fsd;c.fsdsp,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Zfh,used,RV32;RV64,hdl,fadd.h;fclass.h;fcvt.d.h;fcvt.h.d;fcvt.h.l;fcvt.h.lu;fcvt.h.s;fcvt.h.w;fcvt.h.wu;fcvt.l.h;fcvt.lu.h;fcvt.s.h;fcvt.w.h;fcvt.wu.h;fdiv.h;feq.h;fle.h;flt.h;fmadd.h;fmax.h;fmin.h;fmsub.h;fmul.h;fnmadd.h;fnmsub.h;fsgnj.h;fsgnjn.h;fsgnjx.h;fsqrt.h;fsub.h,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Zfhmin,used,RV32;RV64,hdl,flh;fmv.h.x;fmv.x.h;fsh,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Zicsr,used,RV32;RV64,hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,C906_RTL_FACTORY/gen_rtl/cp0/rtl/aq_cp0_iui.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v,
Zifencei,used,RV32;RV64,hdl,fence.i,C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_decd.v;C906_RTL_FACTORY/gen_rtl/idu/rtl/aq_idu_id_dp.v,
