extension,isa_bases,distinct_instructions,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,evidence_kind,instructions,sample_files
I,RV32;RV64,52,0,1090,1090,0,0,hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe4_decd.v
Zvl32b,RV32;RV64,206,0,482,482,0,0,hdl,vaadd.vv;vaadd.vx;vadd.vi;vadd.vv;vadd.vx;vand.vi;vand.vv;vand.vx;vasub.vv;vasub.vx;vdiv.vv;vdiv.vx;vdivu.vv;vdivu.vx;vfadd.vf;vfadd.vv;vfcvt.f.x.v;vfcvt.f.xu.v;vfcvt.x.f.v;vfcvt.xu.f.v;vfdiv.vf;vfdiv.vv;vfmacc.vf;vfmacc.vv;vfmadd.vf;vfmadd.vv;vfmax.vf;vfmax.vv;vfmerge.vfm;vfmin.vf;vfmin.vv;vfmsac.vf;vfmsac.vv;vfmsub.vf;vfmsub.vv;vfmul.vf;vfmul.vv;vfmv.f.s;vfmv.s.f;vfnmacc.vf;vfnmacc.vv;vfnmadd.vf;vfnmadd.vv;vfnmsac.vf;vfnmsac.vv;vfnmsub.vf;vfnmsub.vv;vfrdiv.vf;vfrsub.vf;vfsgnj.vf;vfsgnj.vv;vfsgnjn.vf;vfsgnjn.vv;vfsgnjx.vf;vfsgnjx.vv;vfsub.vf;vfsub.vv;vfwadd.vf;vfwadd.vv;vfwadd.wv;vfwcvt.f.f.v;vfwcvt.f.x.v;vfwcvt.f.xu.v;vfwcvt.x.f.v;vfwcvt.xu.f.v;vfwmacc.vf;vfwmacc.vv;vfwmsac.vv;vfwmul.vf;vfwmul.vv;vfwnmacc.vf;vfwnmacc.vv;vfwsub.vf;vfwsub.vv;vfwsub.wv;vmacc.vv;vmacc.vx;vmadc.vi;vmadc.vv;vmadc.vx;vmadd.vv;vmadd.vx;vmax.vv;vmax.vx;vmaxu.vv;vmaxu.vx;vmfeq.vf;vmfeq.vv;vmfle.vf;vmfle.vv;vmflt.vf;vmflt.vv;vmfne.vv;vmin.vv;vmin.vx;vminu.vv;vminu.vx;vmsbc.vv;vmsbc.vx;vmseq.vi;vmseq.vv;vmseq.vx;vmsgt.vi;vmsgt.vx;vmsgtu.vi;vmsgtu.vx;vmsle.vi;vmsle.vv;vmsle.vx;vmsleu.vi;vmsleu.vv;vmsleu.vx;vmslt.vv;vmslt.vx;vmsltu.vv;vmsltu.vx;vmsne.vi;vmsne.vv;vmsne.vx;vmul.vv;vmul.vx;vmulh.vv;vmulh.vx;vmulhsu.vv;vmulhsu.vx;vmulhu.vv;vmulhu.vx;vmv.s.x;vmv.v.x;vnmsac.vv;vnmsac.vx;vnmsub.vv;vnmsub.vx;vor.vi;vor.vv;vor.vx;vrem.vv;vrem.vx;vremu.vv;vremu.vx;vrgather.vi;vrgather.vv;vrgather.vx;vrsub.vi;vrsub.vx;vsadd.vi;vsadd.vv;vsadd.vx;vsaddu.vi;vsaddu.vv;vsaddu.vx;vsetvl;vsetvli;vslide1down.vx;vslide1up.vx;vslidedown.vi;vslidedown.vx;vslideup.vi;vslideup.vx;vsll.vi;vsll.vv;vsll.vx;vsmul.vv;vsmul.vx;vsra.vi;vsra.vv;vsra.vx;vsrl.vi;vsrl.vv;vsrl.vx;vssra.vi;vssra.vv;vssra.vx;vssrl.vi;vssrl.vv;vssrl.vx;vssub.vv;vssub.vx;vssubu.vv;vssubu.vx;vsub.vv;vsub.vx;vwadd.vv;vwadd.vx;vwaddu.vv;vwaddu.vx;vwmacc.vv;vwmacc.vx;vwmaccsu.vv;vwmaccsu.vx;vwmaccu.vv;vwmaccu.vx;vwmaccus.vx;vwmul.vv;vwmul.vx;vwmulsu.vv;vwmulsu.vx;vwmulu.vv;vwmulu.vx;vwsub.vv;vwsub.vx;vwsubu.vv;vwsubu.vx;vxor.vi;vxor.vv;vxor.vx,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_split_long.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v
F,RV32;RV64,30,0,202,202,0,0,hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fspu_dp.v
D,RV32;RV64,32,0,197,197,0,0,hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fspu_dp.v
Zfh,RV32;RV64,30,0,170,170,0,0,hdl,fadd.h;fclass.h;fcvt.d.h;fcvt.h.d;fcvt.h.l;fcvt.h.lu;fcvt.h.s;fcvt.h.w;fcvt.h.wu;fcvt.l.h;fcvt.lu.h;fcvt.s.h;fcvt.w.h;fcvt.wu.h;fdiv.h;feq.h;fle.h;flt.h;fmadd.h;fmax.h;fmin.h;fmsub.h;fmul.h;fnmadd.h;fnmsub.h;fsgnj.h;fsgnjn.h;fsgnjx.h;fsqrt.h;fsub.h,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v
Zca,RV32;RV64,24,0,132,132,0,0,hdl,c.add;c.addi;c.addi16sp;c.addi4spn;c.and;c.andi;c.beqz;c.bnez;c.ebreak;c.j;c.jalr;c.jr;c.li;c.lw;c.lwsp;c.mv;c.or;c.slli;c.srai;c.srli;c.sub;c.sw;c.swsp;c.xor,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v
M,RV32;RV64,13,0,122,122,0,0,hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_dep_reg_entry.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_mult.v
Zaamo,RV32;RV64,18,0,63,63,0,0,hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomaxu.d;amomaxu.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoxor.d;amoxor.w,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd_special.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe3_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe4_decd.v
Zbb,RV32;RV64,4,0,47,47,0,0,hdl,max;maxu;min;minu,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_split_long.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_double_dp.v
Zicsr,RV32;RV64,6,0,34,34,0,0,hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,C910_RTL_FACTORY/gen_rtl/ciu/rtl/ct_ciu_regs.v;C910_RTL_FACTORY/gen_rtl/ciu/rtl/ct_piu_other_io_sync.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd_special.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_fence.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v
