instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
addi,I,RV32;RV64,asm;hdl,339,5,0,72,12,examples/skip_exception_standalone/skip_exception_standalone.S;firmware/start.S;picorv32.v;picosoc/start.s;scripts/vivado/firmware.S
sw,I,RV32;RV64,asm;hdl,142,6,0,2,11,examples/skip_exception_standalone/skip_exception_standalone.S;firmware/smoke_pass.S;firmware/start.S;picorv32.v;picosoc/start.s
lw,I,RV32;RV64,asm;hdl,104,4,0,6,0,examples/skip_exception_standalone/skip_exception_standalone.S;firmware/start.S;picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v
or,I,RV32;RV64,asm;hdl,1,79,0,0,0,picosoc/hx8kdemo.v;picosoc/hx8kdemo_tb.v;picosoc/picosoc.v;picosoc/spiflash.v;picosoc/start.s
div,M,RV32;RV64,asm;hdl,1,28,0,0,2,picorv32.v;picosoc/icebreaker.v;picosoc/picosoc.v;picosoc/simpleuart.v;testbench.v
and,I,RV32;RV64,hdl,0,28,0,0,0,picosoc/hx8kdemo.v;picosoc/hx8kdemo_tb.v;picosoc/picosoc.v;picosoc/simpleuart.v;picosoc/spiflash.v
mul,M,RV32;RV64,asm;hdl,1,26,0,0,0,firmware/start.S;picorv32.v;picosoc/icebreaker.v;picosoc/picosoc.v;testbench.v
lui,I,RV32;RV64,asm;hdl,20,3,0,0,4,firmware/start.S;picorv32.v;scripts/cxxdemo/start.S;scripts/presyn/firmware.S;scripts/vivado/firmware.S
jal,I,RV32;RV64,asm;hdl,15,3,0,4,1,firmware/start.S;picorv32.v;scripts/icestorm/firmware.S;scripts/presyn/firmware.S;scripts/vivado/firmware.S
ebreak,I,RV32;RV64,asm;hdl,11,5,0,0,1,examples/skip_exception_standalone/skip_exception_standalone.S;firmware/smoke_pass.S;firmware/start.S;picorv32.v;scripts/vivado/firmware.S
sb,I,RV32;RV64,asm;hdl,11,2,0,3,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v;tests/sb.S
andi,I,RV32;RV64,asm;hdl,7,4,0,0,0,examples/skip_exception_standalone/skip_exception_standalone.S;picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v
bne,I,RV32;RV64,asm;hdl,6,2,0,4,0,examples/skip_exception_standalone/skip_exception_standalone.S;picorv32.v;scripts/smtbmc/opcode.v;tests/bne.S;tests/jal.S
lb,I,RV32;RV64,asm;hdl,6,2,0,6,0,picorv32.v;scripts/smtbmc/opcode.v;tests/lb.S;tests/sb.S
lbu,I,RV32;RV64,asm;hdl,6,2,0,4,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v;tests/lbu.S
lh,I,RV32;RV64,asm;hdl,6,2,0,6,0,picorv32.v;scripts/smtbmc/opcode.v;tests/lh.S;tests/sh.S
lhu,I,RV32;RV64,asm;hdl,6,2,0,4,0,examples/skip_exception_standalone/skip_exception_standalone.S;picorv32.v;scripts/smtbmc/opcode.v;tests/lhu.S
slli,I,RV32;RV64,asm;hdl,4,4,0,0,2,dhrystone/start.S;picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v
jalr,I,RV32;RV64,asm;hdl,3,4,0,3,0,picorv32.v;scripts/smtbmc/opcode.v;tests/jalr.S
srli,I,RV32;RV64,asm;hdl,3,4,0,0,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v
blt,I,RV32;RV64,asm;hdl,4,2,0,1,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v;tests/blt.S
ori,I,RV32;RV64,asm;hdl,4,2,0,0,0,examples/skip_exception_standalone/skip_exception_standalone.S;picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v
sh,I,RV32;RV64,asm;hdl,4,2,0,3,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v;tests/sh.S
sub,I,RV32;RV64,asm;hdl,2,4,0,2,0,picorv32.v;scripts/smtbmc/opcode.v;tests/auipc.S
bge,I,RV32;RV64,asm;hdl,3,2,0,1,0,picorv32.v;picosoc/start.s;scripts/smtbmc/opcode.v;tests/bge.S
add,I,RV32;RV64,hdl,0,4,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
beq,I,RV32;RV64,asm;hdl,2,2,0,1,0,firmware/start.S;picorv32.v;scripts/smtbmc/opcode.v;tests/beq.S
sll,I,RV32;RV64,asm;hdl,2,2,0,0,2,dhrystone/start.S;picorv32.v;scripts/smtbmc/opcode.v
srai,I,RV32;RV64,hdl,0,4,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
xor,I,RV32;RV64,hdl,0,4,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
bgeu,I,RV32;RV64,asm;hdl,1,2,0,1,0,picorv32.v;scripts/smtbmc/opcode.v;tests/bgeu.S
bltu,I,RV32;RV64,asm;hdl,1,2,0,1,0,picorv32.v;scripts/smtbmc/opcode.v;tests/bltu.S
auipc,I,RV32;RV64,asm;hdl,1,1,0,0,1,dhrystone/start.S;picorv32.v
slt,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
slti,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
sltiu,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
sltu,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
sra,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
srl,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
xori,I,RV32;RV64,hdl,0,2,0,0,0,picorv32.v;scripts/smtbmc/opcode.v
divu,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
fence,I,RV32;RV64,hdl,0,1,0,0,0,picorv32.v
mulh,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
mulhsu,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
mulhu,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
rem,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
remu,M,RV32;RV64,asm,1,0,0,0,0,firmware/start.S
