instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,509,259,88,0,dependencies/hardfloat/hardfloat/src/main/scala/AddRecFN.scala;dependencies/hardfloat/hardfloat/src/main/scala/CompareRecFN.scala;dependencies/hardfloat/hardfloat/src/main/scala/DivSqrtRecF64.scala;dependencies/hardfloat/hardfloat/src/main/scala/primitives.scala;dependencies/hardfloat/hardfloat/src/main/scala/rawFloatFromIN.scala
and,I,RV32;RV64,hdl,0,183,139,44,0,dependencies/hardfloat/hardfloat/src/main/scala/AddRecFN.scala;dependencies/hardfloat/hardfloat/src/main/scala/CompareRecFN.scala;dependencies/hardfloat/hardfloat/src/main/scala/DivSqrtRecF64.scala;dependencies/hardfloat/hardfloat/src/main/scala/primitives.scala;dependencies/hardfloat/hardfloat/src/main/scala/rawFloatFromIN.scala
add,I,RV32;RV64,asm;hdl,1,148,143,5,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/src/main/scala/chisel3/aop/Select.scala;dependencies/chisel/src/test/scala/chiselTests/naming/PrefixSpec.scala;dependencies/hardfloat/hardfloat/tests/src/FMATester.scala;scripts/debug_rom/debug_rom_nonzero.S
jalr,I,RV32;RV64,asm;hdl,2,100,16,0,0,out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV32FDConfig/mfccompiler/compile.dest/Frontend.sv;out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV64Config/mfccompiler/compile.dest/Frontend.sv;out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV64FConfig2C/mfccompiler/compile.dest/Frontend.sv;scripts/debug_rom/debug_rom.S;scripts/debug_rom/debug_rom_nonzero.S
xor,I,RV32;RV64,hdl,0,69,69,0,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/firrtl/src/main/scala/firrtl/PrimOps.scala;dependencies/chisel/src/main/scala/chisel3/util/random/FibonacciLFSR.scala;dependencies/chisel/src/main/scala/chisel3/util/random/GaloisLFSR.scala;dependencies/chisel/src/main/scala/chisel3/util/random/LFSR.scala
jal,I,RV32;RV64,asm;hdl,3,38,14,0,0,out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV32FConfig2C/mfccompiler/compile.dest/Frontend.sv;out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV32FDConfig/mfccompiler/compile.dest/Frontend.sv;out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV64Config/mfccompiler/compile.dest/Frontend.sv;out/emulator/freechips.rocketchip.system.TestHarness/freechips.rocketchip.system.TraceRV64FConfig2C/mfccompiler/compile.dest/Frontend.sv;scripts/debug_rom/debug_rom.S
max,Zbb,RV32;RV64,hdl,0,30,30,0,0,src/main/scala/diplomacy/AddressRange.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tilelink/Broadcast.scala;src/main/scala/tilelink/Bundles.scala;src/main/scala/tilelink/Fragmenter.scala
xnor,B,RV32;RV64,hdl,0,30,30,0,0,dependencies/chisel/integration-tests/src/test/scala/chiselTest/LFSRSpec.scala;dependencies/chisel/src/main/scala/chisel3/util/random/FibonacciLFSR.scala;dependencies/chisel/src/main/scala/chisel3/util/random/GaloisLFSR.scala;dependencies/chisel/src/main/scala/chisel3/util/random/LFSR.scala;src/main/scala/system/RocketTestSuite.scala
min,Zbb,RV32;RV64,hdl,0,29,29,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tilelink/Bundles.scala;src/main/scala/tilelink/Fragmenter.scala
minu,Zbb,RV32;RV64,hdl,0,28,28,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/DCache.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tilelink/Bundles.scala
div,M,RV32;RV64,hdl,0,27,21,6,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/firrtl/src/main/scala/firrtl/PrimOps.scala;dependencies/hardfloat/hardfloat/tests/src/FMATester.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala
maxu,Zbb,RV32;RV64,hdl,0,26,26,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/DCache.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tilelink/Bundles.scala
mul,M,RV32;RV64,hdl,0,24,19,5,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/firrtl/src/main/scala/firrtl/PrimOps.scala;dependencies/chisel/src/test/scala/chiselTests/naming/PrefixSpec.scala;dependencies/hardfloat/hardfloat/tests/src/FMATester.scala;src/main/scala/system/RocketTestSuite.scala
sb,I,RV32;RV64,hdl,0,20,20,0,0,src/main/scala/devices/debug/SBA.scala;src/main/scala/rocket/Consts.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/RocketCore.scala;src/main/scala/system/RocketTestSuite.scala
sw,I,RV32;RV64,asm;hdl,8,12,12,0,0,scripts/debug_rom/debug_rom.S;scripts/debug_rom/debug_rom_nonzero.S;src/main/scala/devices/debug/Debug.scala;src/main/scala/regmapper/RegFieldDesc.scala;src/main/scala/tilelink/RegisterRouter.scala
sub,I,RV32;RV64,hdl,0,16,16,0,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/firrtl/src/main/scala/firrtl/PrimOps.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tilelink/SRAM.scala
ebreak,I,RV32;RV64,asm;hdl,1,14,14,0,0,scripts/debug_rom/debug_rom.S;src/main/scala/devices/debug/Debug.scala;src/main/scala/rocket/CSR.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala
ror,B,RV32;RV64,hdl,0,15,15,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
sra,I,RV32;RV64,hdl,0,15,15,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
rem,M,RV32;RV64,hdl,0,13,13,0,0,dependencies/chisel/core/src/main/scala/chisel3/internal/firrtl/IR.scala;dependencies/chisel/firrtl/src/main/scala/firrtl/PrimOps.scala;src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala
slli,I,RV32;RV64,asm;hdl,2,11,11,0,0,bootrom/bootrom.S;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala;src/main/scala/system/RocketTestSuite.scala
andn,B,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
bext,Zbs,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
mulh,M,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala
mulhsu,M,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala
mulhu,M,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala
rol,B,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
slt,I,RV32;RV64,hdl,0,12,12,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
csrrw,Zicsr,RV32;RV64,asm;hdl,2,9,9,0,0,scripts/debug_rom/debug_rom_nonzero.S;src/main/scala/devices/debug/Debug.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala
divu,M,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala
orn,B,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
remu,M,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala
sd,I,RV32;RV64,hdl,0,11,11,0,0,dependencies/chisel/core/src/main/scala/chisel3/experimental/package.scala;src/main/scala/devices/debug/Debug.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
sltu,I,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
srai,I,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala;src/main/scala/system/RocketTestSuite.scala
srli,I,RV32;RV64,hdl,0,11,11,0,0,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala;src/main/scala/system/RocketTestSuite.scala
andi,I,RV32;RV64,asm;hdl,4,6,6,0,0,scripts/debug_rom/debug_rom.S;scripts/debug_rom/debug_rom_nonzero.S;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
wfi,Sm,RV32;RV64,hdl,0,10,10,0,0,src/main/scala/groundtest/TraceGen.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tile/Interrupts.scala;src/main/scala/tile/RocketTile.scala
c.li,Zca,RV32;RV64,hdl,0,9,9,0,0,dependencies/chisel/src/main/scala/circt/stage/ChiselStage.scala;src/main/scala/rocket/Instructions.scala
fence,I,RV32;RV64,asm;hdl,2,7,7,0,0,scripts/debug_rom/debug_rom.S;scripts/debug_rom/debug_rom_nonzero.S;src/main/scala/rocket/DCache.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/RocketCore.scala
lw,I,RV32;RV64,hdl,0,9,9,0,0,src/main/scala/devices/debug/Debug.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala
