extension,support_status,isa_bases,evidence_kind,distinct_instructions,sample_files,notes
B,used,RV32;RV64,hdl,andn;clmul;clmulh;orn;rev8;rol;rolw;ror;rori;roriw;rorw;xnor,dependencies/chisel/integration-tests/src/test/scala/chiselTest/LFSRSpec.scala;src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala,
C,used,RV32;RV64,hdl,c.addiw;c.addw;c.jal;c.ld;c.ldsp;c.sd;c.sdsp;c.subw,src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala,
D,used,RV32;RV64,hdl,fadd.d;fclass.d;fcvt.d.l;fcvt.d.lu;fcvt.d.s;fcvt.d.w;fcvt.d.wu;fcvt.l.d;fcvt.lu.d;fcvt.s.d;fcvt.w.d;fcvt.wu.d;fdiv.d;feq.d;fld;fle.d;flt.d;fmadd.d;fmax.d;fmin.d;fmsub.d;fmul.d;fmv.d.x;fmv.x.d;fnmadd.d;fnmsub.d;fsd;fsgnj.d;fsgnjn.d;fsgnjx.d;fsqrt.d;fsub.d,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/tile/FPU.scala,
F,used,RV32;RV64,hdl,fadd.s;fclass.s;fcvt.l.s;fcvt.lu.s;fcvt.s.l;fcvt.s.lu;fcvt.s.w;fcvt.s.wu;fcvt.w.s;fcvt.wu.s;fdiv.s;feq.s;fle.s;flt.s;flw;fmadd.s;fmax.s;fmin.s;fmsub.s;fmul.s;fmv.w.x;fmv.x.w;fnmadd.s;fnmsub.s;fsgnj.s;fsgnjn.s;fsgnjx.s;fsqrt.s;fsub.s;fsw,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala;src/main/scala/tile/FPU.scala,
H,used,RV32;RV64,hdl,hfence.gvma;hfence.vvma;hlv.b;hlv.bu;hlv.d;hlv.h;hlv.hu;hlv.w;hlv.wu;hlvx.hu;hlvx.wu;hsv.b;hsv.d;hsv.h;hsv.w,src/main/scala/rocket/CSR.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala,
I,used,RV32;RV64,asm;hdl,add;addi;addiw;addw;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;ld;lh;lhu;lui;lw;lwu;or;ori;sb;sd;sh;sll;slli;slliw;sllw;slt;slti;sltiu;sltu;sra;srai;sraiw;sraw;srl;srli;srliw;srlw;sub;subw;sw;xor;xori,src/main/scala/devices/debug/Debug.scala;src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala,
M,used,RV32;RV64,hdl,div;divu;divuw;divw;mul;mulh;mulhsu;mulhu;mulw;rem;remu;remuw;remw,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Multiplier.scala;src/main/scala/system/RocketTestSuite.scala,
Q,used,RV32;RV64,hdl,fadd.q;fclass.q;fcvt.d.q;fcvt.h.q;fcvt.l.q;fcvt.lu.q;fcvt.q.d;fcvt.q.h;fcvt.q.l;fcvt.q.lu;fcvt.q.s;fcvt.q.w;fcvt.q.wu;fcvt.s.q;fcvt.w.q;fcvt.wu.q;fdiv.q;feq.q;fle.q;flq;flt.q;fmadd.q;fmax.q;fmin.q;fmsub.q;fmul.q;fnmadd.q;fnmsub.q;fsgnj.q;fsgnjn.q;fsgnjx.q;fsq;fsqrt.q;fsub.q,src/main/scala/rocket/Instructions.scala,
S,used,RV32;RV64,hdl,sfence.vma;sret,src/main/scala/rocket/CSR.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala,
Sdext,used,RV32;RV64,asm;hdl,dret,scripts/debug_rom/debug_rom.S;scripts/debug_rom/debug_rom_nonzero.S;src/main/scala/rocket/CSR.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala,
Sm,used,RV32;RV64,hdl,mret;wfi,src/main/scala/groundtest/TraceGen.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/system/RocketTestSuite.scala;src/main/scala/tile/Interrupts.scala;src/main/scala/tile/RocketTile.scala,
Smrnmi,used,RV32;RV64,hdl,mnret,src/main/scala/rocket/CSR.scala;src/main/scala/rocket/CustomInstructions.scala;src/main/scala/rocket/IDecode.scala,
Svinval,used,RV32;RV64,hdl,hinval.gvma;hinval.vvma;sfence.inval.ir;sfence.w.inval;sinval.vma,src/main/scala/rocket/Instructions.scala,
Zaamo,used,RV32;RV64,hdl,amoadd.d;amoadd.w;amoand.d;amoand.w;amomax.d;amomax.w;amomaxu.d;amomaxu.w;amomin.d;amomin.w;amominu.d;amominu.w;amoor.d;amoor.w;amoswap.d;amoswap.w;amoxor.d;amoxor.w,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala,
Zalrsc,used,RV32;RV64,hdl,lr.d;lr.w;sc.d;sc.w,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala,
Zba,used,RV32;RV64,hdl,add.uw;sh1add;sh1add.uw;sh2add;sh2add.uw;sh3add;sh3add.uw;slli.uw,src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala,
Zbb,used,RV32;RV64,hdl,clz;clzw;cpop;cpopw;ctz;ctzw;max;maxu;min;minu;orc.b;sext.b;sext.h;zext.h,src/main/scala/diplomacy/AddressRange.scala;src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/system/RocketTestSuite.scala,
Zbc,used,RV32;RV64,hdl,clmulr,src/main/scala/rocket/Instructions.scala,
Zbkb,used,RV32;RV64,hdl,brev8;pack;packh;packw;unzip;zip,dependencies/chisel/src/test/scala/chiselTests/BundleLiteralSpec.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala,
Zbkx,used,RV32;RV64,hdl,xperm4;xperm8,src/main/scala/rocket/Instructions.scala,
Zbs,used,RV32;RV64,hdl,bclr;bclri;bext;bexti;binv;binvi;bset;bseti,src/main/scala/rocket/ALU.scala;src/main/scala/rocket/IDecode.scala;src/main/scala/rocket/Instructions.scala;src/main/scala/rocket/Instructions32.scala;src/main/scala/system/RocketTestSuite.scala,
